doctorAMKA,username,hashedpassword,name,surname,specialty,ADMIN_userid,salt
05243085579,doctor1,0647B01E13559DA2BE65D3A1CACF8B12,doctor1,surname1,Ophthalmologist,1,[B@38721f8
07475555705,thanos_vtk,B2BEE75816B38F0203B0EEE9C7C9E67A,Thanos,Vitakis,Pathologist,2,[B@508806c3
10192442815,mitsos_png,8061A01BF1409A487F0DBE6EBFFFFCED,Dimitrios,Panagiotopoulos,Pathologist,3,[B@19ff5483
12557545510,snurnya,F1218BB6ECE413B75FE3744C8F65171E,Starr,Nurny,Orthopedic,1,[B@73d14a64
35046771509,rlebretoni,7BA0EE601F24A5F1AD740AE084F781B7,Romola,Lebreton,Ophthalmologist,3,[B@3264062b
41381050148,bnonob,53EBBB5AED7464481789CB62D65442DC,Brenn,Nono,Pathologist,2,[B@1f8cc78e
42166230654,ojedrzejewiczc,7B88B3DB67D4F56ED13B889D93481F90,Ophelia,Jedrzejewicz,Ophthalmologist,1,[B@53fdc948
45453234543,doctor4,C7687F8F8AFE89F6C6773A4D66C17C14,doctor4,doctor4,Orthopedic,1,[B@78ac0f52
45608815471,rbeekmann4,5E0D6F8D2960C3318CF13E5FF8430C32,Ruthied,Beekmann,Pathologist,1,[B@78f4b503
55368844094,lferryn3,3AEE4F7882ED197088C0DAF8E3A00915,Leese,Ferryn,Orthopedic,2,[B@36740b8e
55670497446,rhostene,49443714DD7B2D6C4EDAEABE2B4ADCDE,Roger,Hosten,Ophthalmologist,1,[B@533e3175
58380967728,jhowgego6,0BB4D9B52F60C6759FDD20F9051244BF,Joscelin,Howgego,Orthopedic,1,[B@70d3eb73
68968421329,smanuely5,39AEA9A0340A86278196AA9E1B575346,Stace,Manuely,Pathologist,2,[B@6df413cf
69873346589,fiddy0,D9D8CED97F56800B027207F9BF981913,Filide,Iddy,Ophthalmologist,1,[B@5224c861
76682476573,mbuckley1,61D09370787E1933653DC1C079FDF077,Mariellen,Buckley,Pathologist,2,[B@4be2d911
77605076978,falyokhin8,1A4168E44960816C2EF84ABABF3177B6,Frederigo,Alyokhin,Pathologist,1,[B@53901704
81231882837,nfiging,DC8497A5161D6E7F5C715A140FCB0E7D,Natal,Figin,Ophthalmologist,3,[B@359cfe5c
91895119373,labbotd,D118999817CB3A3A73A9F3B171681AD4,Linnell,Abbot,Orthopedic,2,[B@406ecc7d
96601370317,rbalduccij,50D19D2015C40E377CD585378F281D8A,Redford,Balducci,Pathologist,3,[B@31919584
98821388042,jditty9,A2876F2A3A095EFDC40E2B84229168DA,Jeffy,Ditty,Orthopedic,2,[B@6c2e6f54
